,Unnamed: 0,Unnamed: 0.1,duration,title,rating,student,difficulty,link,site,skill,comments,subjectivity,comments_score,translated_title,price
24,19,19,4.0,Cloud Computing Basics (Cloud 101),4.539312754804892,110105.0,Beginner,https://www.coursera.org/learn/cloud-computing-basics,cousera,gcp,course good delivered steady pace fast numerous examples things taught drawback video transcripts well donethank given opportunity follow excellent course providing financial aid thank every one helping course helped get good knowledge cloud computingi really loved content course never thought course help teach basic concepts deeply precision uptodate knowledge thank stakeholdersgreat learning coursebut sholud practical lesson learn real hands onreal worlds exmaples given topics pokemon go deployed kubernetes,0.4931818181818182,0.3333333333333333,course good delivered steady pace fast numerous examples things taught drawback video transcripts well donethank given opportunity follow excellent course providing financial aid thank every one helping course helped get good knowledge cloud computingi really loved content course never thought course help teach basic concepts deeply precision uptodate knowledge thank stakeholdersgreat learning coursebut sholud practical lesson learn real hands onreal worlds exmaples given topics pokemon go deployed kubernetes,$39 subscription fee per month
25,20,20,,Preparing for Google Cloud Certification: Cloud Architect,4.703364050632908,540913.0,Intermediate,https://www.coursera.org/professional-certificates/gcp-cloud-architect,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
26,21,21,,Preparing for Google Cloud Certification: Cloud Engineer,4.704339045287638,538988.0,Intermediate,https://www.coursera.org/professional-certificates/cloud-engineering-gcp,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
27,22,22,,"Data Engineering, Big Data, and Machine Learning on GCP",4.631488282032452,211005.0,Intermediate,https://www.coursera.org/specializations/gcp-data-machine-learning,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
28,23,23,,Preparing for Google Cloud Certification: Cloud DevOps Engineer,4.702415426850868,579532.0,Beginner,https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
29,24,24,,Preparing for Google Cloud Certification: Cloud Data Engineer,4.628340134263525,216955.0,Intermediate,https://www.coursera.org/professional-certificates/gcp-data-engineering,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
30,25,25,,Developing Applications with Google Cloud Platform,4.713119420989143,519772.0,Intermediate,https://www.coursera.org/specializations/developing-apps-gcp,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
31,26,26,,Preparing for Google Cloud Certification: Machine Learning Engineer,4.595076164874552,313016.0,Intermediate,https://www.coursera.org/professional-certificates/preparing-for-google-cloud-machine-learning-engineer-professional-certificate,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
32,27,27,,Architecting with Google Kubernetes Engine,4.720301040218591,513552.0,Beginner,https://www.coursera.org/specializations/architecting-google-kubernetes-engine,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
33,28,28,,Google Cloud Digital Leader Training,4.725988700564971,17665.0,Beginner,https://www.coursera.org/professional-certificates/google-cloud-digital-leader-training,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
34,29,29,4.0,Cloud Computing Basics (Cloud 101),4.539312754804892,110105.0,Beginner,https://www.coursera.org/learn/cloud-computing-basics,cousera,gcp,course good delivered steady pace fast numerous examples things taught drawback video transcripts well donethank given opportunity follow excellent course providing financial aid thank every one helping course helped get good knowledge cloud computingi really loved content course never thought course help teach basic concepts deeply precision uptodate knowledge thank stakeholdersgreat learning coursebut sholud practical lesson learn real hands onreal worlds exmaples given topics pokemon go deployed kubernetes,0.4931818181818182,0.3333333333333333,course good delivered steady pace fast numerous examples things taught drawback video transcripts well donethank given opportunity follow excellent course providing financial aid thank every one helping course helped get good knowledge cloud computingi really loved content course never thought course help teach basic concepts deeply precision uptodate knowledge thank stakeholdersgreat learning coursebut sholud practical lesson learn real hands onreal worlds exmaples given topics pokemon go deployed kubernetes,$39 subscription fee per month
35,30,30,,Preparing for Google Cloud Certification: Cloud Architect,4.703364050632908,540913.0,Intermediate,https://www.coursera.org/professional-certificates/gcp-cloud-architect,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
36,31,31,,Preparing for Google Cloud Certification: Cloud Engineer,4.704339045287638,538988.0,Intermediate,https://www.coursera.org/professional-certificates/cloud-engineering-gcp,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
37,32,32,,"Data Engineering, Big Data, and Machine Learning on GCP",4.631488282032452,211005.0,Intermediate,https://www.coursera.org/specializations/gcp-data-machine-learning,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
38,33,33,,Preparing for Google Cloud Certification: Cloud DevOps Engineer,4.702415426850868,579532.0,Beginner,https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
39,34,34,,Preparing for Google Cloud Certification: Cloud Data Engineer,4.628340134263525,216955.0,Intermediate,https://www.coursera.org/professional-certificates/gcp-data-engineering,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
40,35,35,,Developing Applications with Google Cloud Platform,4.713119420989143,519772.0,Intermediate,https://www.coursera.org/specializations/developing-apps-gcp,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
41,36,36,,Preparing for Google Cloud Certification: Machine Learning Engineer,4.595076164874552,313016.0,Intermediate,https://www.coursera.org/professional-certificates/preparing-for-google-cloud-machine-learning-engineer-professional-certificate,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
42,37,37,,Architecting with Google Kubernetes Engine,4.720301040218591,513552.0,Beginner,https://www.coursera.org/specializations/architecting-google-kubernetes-engine,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
43,38,38,,Google Cloud Digital Leader Training,4.725988700564971,17665.0,Beginner,https://www.coursera.org/professional-certificates/google-cloud-digital-leader-training,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
44,39,39,4.0,Cloud Computing Basics (Cloud 101),4.539312754804892,110105.0,Beginner,https://www.coursera.org/learn/cloud-computing-basics,cousera,gcp,course good delivered steady pace fast numerous examples things taught drawback video transcripts well donethank given opportunity follow excellent course providing financial aid thank every one helping course helped get good knowledge cloud computingi really loved content course never thought course help teach basic concepts deeply precision uptodate knowledge thank stakeholdersgreat learning coursebut sholud practical lesson learn real hands onreal worlds exmaples given topics pokemon go deployed kubernetes,0.4931818181818182,0.3333333333333333,course good delivered steady pace fast numerous examples things taught drawback video transcripts well donethank given opportunity follow excellent course providing financial aid thank every one helping course helped get good knowledge cloud computingi really loved content course never thought course help teach basic concepts deeply precision uptodate knowledge thank stakeholdersgreat learning coursebut sholud practical lesson learn real hands onreal worlds exmaples given topics pokemon go deployed kubernetes,$39 subscription fee per month
45,40,40,15.0,Building Modern Node.js Applications on AWS,4.416666666666667,6163.0,Intermediate,https://www.coursera.org/learn/building-modern-node-applications-on-aws,cousera,gcp,great course information presented videos succinct helpful complete labs well great way learn new aws servicesthey introduces serverless architecture nicely nice also course cloudformation templates extension thisenjoyed course productive thank coursera thank aws,0.6709090909090909,0.4872727272727273,great course information presented videos succinct helpful complete labs well great way learn new aws servicesthey introduces serverless architecture nicely nice also course cloudformation templates extension thisenjoyed course productive thank coursera thank aws,$39 subscription fee per month
46,41,41,11.0,Google Cloud Platform Fundamentals for AWS Professionals,4.652078774617068,84793.0,Intermediate,https://www.coursera.org/learn/gcp-fundamentals-aws,cousera,gcp,helpful course understand gcps various offerings products enjoyed learning course quick labs helpful handson experience thanks course courserait great course learn google cloud platformthis course clear basic understanding google cloud work create manage container kubernetes clustervery well designed course someone already knows aws c relate services provided therein would better small lab machine learning put great learning experience coursera details easily understandablennthank give opportunity lockdown increasing knowledge,0.5128787878787878,0.3106060606060606,helpful course understand gcps various offerings products enjoyed learning course quick labs helpful handson experience thanks course courserait great course learn google cloud platformthis course clear basic understanding google cloud work create manage container kubernetes clustervery well designed course someone already knows aws c relate services provided therein would better small lab machine learning put great learning experience coursera details easily understandablennthank give opportunity lockdown increasing knowledge,$39 subscription fee per month
47,42,42,,Architecting with Google Kubernetes Engine en EspaÃ±ol,4.779249706916764,14976.0,Beginner,https://www.coursera.org/specializations/architecting-google-kubernetes-engine-es,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
48,43,43,5.0,AWS Fundamentals: Building Serverless Applications,4.724781572676728,74438.0,Beginner,https://www.coursera.org/learn/aws-fundamentals-building-serverless-applications,cousera,gcp,informative course wherein get idea various services used aws would highly recommend take work read exercises informative thank youthank much course enjoyed handson however highlevel flow digram handson would beneficial understand much better quick referencenice explanation sirs chinese mam explaining us well teaching something useless asking quiz things didnt taught please change mam videosthe really great course provided aws course really good content also good exercises gives experience going serverless building application,0.4627272727272727,0.3084848484848485,informative course wherein get idea various services used aws would highly recommend take work read exercises informative thank youthank much course enjoyed handson however highlevel flow digram handson would beneficial understand much better quick referencenice explanation sirs chinese mam explaining us well teaching something useless asking quiz things didnt taught please change mam videosthe really great course provided aws course really good content also good exercises gives experience going serverless building application,$39 subscription fee per month
49,44,44,,Preparing for Google Cloud Certification: Cloud Data Engineer Professional Certificate en EspaÃ±ol,4.669110764430577,18575.0,Intermediate,https://www.coursera.org/specializations/gcp-data-engineer-es,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
50,45,45,11.0,Essential Google Cloud Infrastructure: Core Services,4.71229184714602,110047.0,Intermediate,https://www.coursera.org/learn/gcp-infrastructure-core-services,cousera,gcp,really good course covering suitable breadth material reasonable depth feeling labs could go little deeper without significantly increasing time takenthanks google team producing wonderful training content breeze know gcp core services even guy like handson yearsover good course need update course keep sync changes actual gcp console need fix bigquery part asap sync instructions labgets little indepth first pretty interesting sure focus stackdriver basically paid extra see value,0.5962301587301587,0.3321428571428572,really good course covering suitable breadth material reasonable depth feeling labs could go little deeper without significantly increasing time takenthanks google team producing wonderful training content breeze know gcp core services even guy like handson yearsover good course need update course keep sync changes actual gcp console need fix bigquery part asap sync instructions labgets little indepth first pretty interesting sure focus stackdriver basically paid extra see value,$39 subscription fee per month
51,46,46,,Customer Experiences with Contact Center AI,4.55,1962.0,Intermediate,https://www.coursera.org/specializations/customer-experience-gcp,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
52,47,47,,Preparing for Google Cloud Certification: Cloud Data Engineer Professional Certificate æ¥æ¬èªç,4.449668874172185,3900.0,Intermediate,https://www.coursera.org/professional-certificates/gcp-data-engineering-jp,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
53,48,48,14.0,Networking in Google Cloud: Defining and Implementing Networks,4.813432835820896,24085.0,Intermediate,https://www.coursera.org/learn/networking-gcp-defining-implementing-networks,cousera,gcp,nice training well explained program topic explained clearly practical training given good exposure really helps us understand topics wellsome labs confusing trying get command take endings made error difficulty correcting seem impossible make right overall good coursenetworking google cloud defining implementing networks great way learn basics devs learning gcloud thanks course regards appbootupcomvery useful course understanding configure networks gcp fills lot gaps understanding taking google cloud architect specialisation,0.472420634920635,0.2432539682539682,nice training well explained program topic explained clearly practical training given good exposure really helps us understand topics wellsome labs confusing trying get command take endings made error difficulty correcting seem impossible make right overall good coursenetworking google cloud defining implementing networks great way learn basics devs learning gcloud thanks course regards appbootupcomvery useful course understanding configure networks gcp fills lot gaps understanding taking google cloud architect specialisation,$39 subscription fee per month
54,49,49,,"Data Engineering, Big Data and ML on Google Cloud en EspaÃ±ol",4.668593749999999,18154.0,Intermediate,https://www.coursera.org/specializations/gcp-data-machine-learning-es,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
55,50,50,,Preparing for Google Cloud Certification: Cloud Architect,4.703364050632908,540913.0,Intermediate,https://www.coursera.org/professional-certificates/gcp-cloud-architect,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
56,51,51,,Preparing for Google Cloud Certification: Cloud Engineer,4.704339045287638,538988.0,Intermediate,https://www.coursera.org/professional-certificates/cloud-engineering-gcp,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
57,52,52,,"Data Engineering, Big Data, and Machine Learning on GCP",4.631488282032452,211005.0,Intermediate,https://www.coursera.org/specializations/gcp-data-machine-learning,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
58,53,53,,Preparing for Google Cloud Certification: Cloud DevOps Engineer,4.702415426850868,579532.0,Beginner,https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
59,54,54,,Preparing for Google Cloud Certification: Cloud Data Engineer,4.628340134263525,216955.0,Intermediate,https://www.coursera.org/professional-certificates/gcp-data-engineering,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
60,55,55,,Developing Applications with Google Cloud Platform,4.713119420989143,519772.0,Intermediate,https://www.coursera.org/specializations/developing-apps-gcp,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
61,56,56,,Preparing for Google Cloud Certification: Machine Learning Engineer,4.595076164874552,313016.0,Intermediate,https://www.coursera.org/professional-certificates/preparing-for-google-cloud-machine-learning-engineer-professional-certificate,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
62,57,57,,Architecting with Google Kubernetes Engine,4.720301040218591,513552.0,Beginner,https://www.coursera.org/specializations/architecting-google-kubernetes-engine,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
63,58,58,,Google Cloud Digital Leader Training,4.725988700564971,17665.0,Beginner,https://www.coursera.org/professional-certificates/google-cloud-digital-leader-training,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
64,59,59,4.0,Cloud Computing Basics (Cloud 101),4.539312754804892,110105.0,Beginner,https://www.coursera.org/learn/cloud-computing-basics,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
65,60,60,,Preparing for Google Cloud Certification: Cloud Architect,4.703364050632908,540913.0,Intermediate,https://www.coursera.org/professional-certificates/gcp-cloud-architect,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
66,61,61,,Preparing for Google Cloud Certification: Cloud Engineer,4.704339045287638,538988.0,Intermediate,https://www.coursera.org/professional-certificates/cloud-engineering-gcp,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
67,62,62,,"Data Engineering, Big Data, and Machine Learning on GCP",4.631488282032452,211005.0,Intermediate,https://www.coursera.org/specializations/gcp-data-machine-learning,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
68,63,63,,Preparing for Google Cloud Certification: Cloud DevOps Engineer,4.702415426850868,579532.0,Beginner,https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
69,64,64,,Preparing for Google Cloud Certification: Cloud Data Engineer,4.628340134263525,216955.0,Intermediate,https://www.coursera.org/professional-certificates/gcp-data-engineering,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
70,65,65,,Developing Applications with Google Cloud Platform,4.713119420989143,519772.0,Intermediate,https://www.coursera.org/specializations/developing-apps-gcp,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
71,66,66,,Preparing for Google Cloud Certification: Machine Learning Engineer,4.595076164874552,313016.0,Intermediate,https://www.coursera.org/professional-certificates/preparing-for-google-cloud-machine-learning-engineer-professional-certificate,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
72,67,67,,Architecting with Google Kubernetes Engine,4.720301040218591,513552.0,Beginner,https://www.coursera.org/specializations/architecting-google-kubernetes-engine,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
73,68,68,,Google Cloud Digital Leader Training,4.725988700564971,17665.0,Beginner,https://www.coursera.org/professional-certificates/google-cloud-digital-leader-training,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
74,69,69,4.0,Cloud Computing Basics (Cloud 101),4.539312754804892,110105.0,Beginner,https://www.coursera.org/learn/cloud-computing-basics,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
75,70,70,10.0,Essential Cloud Infrastructure: Foundation dalam bahasa Indonesia,4.920547945205479,1816.0,Intermediate,https://www.coursera.org/learn/essential-cloud-infrastructure-foundation-id,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
76,71,71,9.0,Architecting with Google Kubernetes Engine: Production en EspaÃ±ol,4.851851851851852,1507.0,Intermediate,https://www.coursera.org/learn/deploying-secure-kubernetes-containers-in-production-es,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
77,72,72,14.0,Feature Engineering æ¥æ¬èªç,4.375,152.0,Intermediate,https://www.coursera.org/learn/feature-engineering-jp,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
78,73,73,9.0,Optimizing Your Google Cloud Platform Costs em PortuguÃªs,,30.0,Intermediate,https://www.coursera.org/learn/gcp-cost-optimization-br,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
79,74,74,8.0,Understanding Your Google Cloud Platform Costs en EspaÃ±ol,4.5,110.0,Beginner,https://www.coursera.org/learn/gcp-cost-management-es,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
80,75,75,10.0,Understanding Your Google Cloud Platform Costs en FranÃ§ais,,54.0,Beginner,https://www.coursera.org/learn/gcp-cost-management-fr,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
81,76,76,9.0,Optimizing Your Google Cloud Platform Costs en FranÃ§ais,,31.0,Intermediate,https://www.coursera.org/learn/gcp-cost-optimization-fr,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
82,77,77,4.0,Managing Change when Moving to Google Cloud æ¥æ¬èªç,,25.0,Beginner,https://www.coursera.org/learn/managing-change-when-moving-to-google-cloud-jp,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
83,78,78,,Architecting with Google Compute Engine bahasa Indonesia,4.891396332863187,3706.0,Intermediate,https://www.coursera.org/specializations/gcp-architecture-bhid,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
84,79,79,,From Data to Insights with Google Cloud Platform æ¥æ¬èªç,4.5,623.0,Beginner,https://www.coursera.org/specializations/from-data-to-insights-google-cloud-platform-jp,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
85,80,80,,Machine Learning with TensorFlow on Google Cloud Platform em PortuguÃªs Brasileiro,4.66235294117647,1733.0,Intermediate,https://www.coursera.org/specializations/machine-learning-tensorflow-gcp-br,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
86,81,81,,Architecting with Google Compute Engine auf Deutsch,4.605263157894737,1260.0,Intermediate,https://www.coursera.org/specializations/gcp-architecture-de,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
87,82,82,,Building Cloud Computing Solutions at Scale,4.69,2290.0,Intermediate,https://www.coursera.org/specializations/building-cloud-computing-solutions-at-scale,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
88,83,83,15.0,ML Pipelines on Google Cloud,3.5,2666.0,Advanced,https://www.coursera.org/learn/ml-pipelines-google-cloud,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
89,84,84,7.0,"Cloud Virtualization, Containers and APIs",4.75,525.0,Beginner,https://www.coursera.org/learn/cloud-virtualization-containers-api-duke,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
90,85,85,8.0,Cloud Data Engineering,5.0,564.0,Intermediate,https://www.coursera.org/learn/cloud-data-engineering-duke,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
91,86,86,14.0,Google Cloud Platform Big Data and Machine Learning Fundamentals æ¥æ¬èªç,4.453237410071942,3532.0,Intermediate,https://www.coursera.org/learn/gcp-big-data-ml-fundamentals-jp,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
92,87,87,17.0,Google Cloud Platform Big Data and Machine Learning Fundamentals en FranÃ§ais,4.304347826086956,1667.0,Intermediate,https://www.coursera.org/learn/gcp-big-data-ml-fundamentals-fr,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
93,88,88,13.0,Google Cloud Platform Fundamentals: Core Infrastructure en FranÃ§ais,4.711111111111111,2058.0,Intermediate,https://www.coursera.org/learn/gcp-fundamentals-fr,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
94,89,89,15.0,Google Cloud Platform Big Data and Machine Learning Fundamentals en EspaÃ±ol,4.669950738916256,17383.0,Intermediate,https://www.coursera.org/learn/gcp-big-data-ml-fundamentals-es,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
95,90,90,6.0,Getting Started with Application Development æ¥æ¬èªç,4.476190476190476,473.0,Intermediate,https://www.coursera.org/learn/getting-started-app-development-jp,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
96,91,91,17.0,Google Cloud Platform Fundamentals: Core Infrastructure dalam bahasa Indonesia,4.903010033444816,3062.0,Intermediate,https://www.coursera.org/learn/gcp-fundamentals-core-infrastructure-id,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
97,92,92,10.0,Architecting with Google Kubernetes Engine: Production em PortuguÃªs Brasileiro,,123.0,Intermediate,https://www.coursera.org/learn/deploying-secure-kubernetes-containers-in-production-br,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
98,93,93,,Developing APIs with Google Cloud's Apigee API Platform,4.651964133219472,29068.0,Intermediate,https://www.coursera.org/specializations/apigee-api-gcp,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
99,94,94,5.0,API Design and Fundamentals of Google Cloud's Apigee API Platform,4.678339169584793,27546.0,Intermediate,https://www.coursera.org/learn/api-design-apigee-gcp,cousera,gcp,none indicated,0.0,0.0,none indicated,$39 subscription fee per month
